parameter,value,level,win_rate,possession,goal_difference,territory_gain,centroid_x,total_shots,shots_on_target,n_matches
shoot_distance_max,1.0,1,80.0,54.1,1.47,-0.5,-0.221,1611.3,126.4,30
shoot_distance_max,1.4,2,46.7,53.8,0.73,4.5,-0.139,1793.8,155.0,30
shoot_distance_max,1.8,3,30.0,48.5,-0.03,-6.2,-0.312,1740.0,197.5,30
shoot_distance_max,2.2,4,16.7,46.2,-0.57,-13.3,-0.505,1697.7,190.8,30
shoot_distance_max,2.8,5,0.0,40.1,-0.63,-30.1,-0.782,1658.4,251.3,30
shoot_over_pass_bias,0.1,1,13.3,55.4,-0.3,12.4,0.046,2389.8,223.1,30
shoot_over_pass_bias,0.3,2,23.3,51.2,-0.1,-3.1,-0.192,1957.9,190.4,30
shoot_over_pass_bias,0.5,3,30.0,49.7,0.3,-2.5,-0.19,2004.7,224.1,30
shoot_over_pass_bias,0.7,4,10.0,47.3,-0.17,-9.9,-0.371,1666.2,185.6,30
shoot_over_pass_bias,0.9,5,26.7,51.7,-0.03,1.2,-0.17,1907.3,215.4,30
chase_radius,1.3,1,0.0,49.3,-0.5,5.2,-0.109,1707.8,172.1,30
chase_radius,2.0,2,20.0,49.1,-0.1,-4.4,-0.248,1765.0,189.4,30
chase_radius,2.5,3,43.3,49.0,0.43,-4.7,-0.249,1771.0,226.3,30
chase_radius,3.0,4,23.3,43.8,-0.07,-23.2,-0.549,1600.1,198.8,30
chase_radius,3.5,5,20.0,49.3,-0.03,-5.5,-0.346,1801.8,168.9,30
kick_power,0.85,1,3.3,56.5,-0.57,13.3,-0.007,2362.6,189.7,30
kick_power,0.95,2,23.3,48.6,-0.17,-9.2,-0.324,1764.8,193.3,30
kick_power,1.05,3,16.7,51.5,-0.1,1.5,-0.168,2085.7,197.9,30
kick_power,1.15,4,53.3,52.7,0.5,5.4,-0.116,2140.6,199.7,30
kick_power,1.25,5,56.7,47.2,0.87,-13.3,-0.438,1712.1,171.7,30
tackle_aggression,0.2,1,10.0,47.4,-0.23,-9.9,-0.359,1724.5,196.6,30
tackle_aggression,0.35,2,16.7,53.3,-0.1,7.9,-0.078,2025.7,196.5,30
tackle_aggression,0.5,3,13.3,50.4,-0.17,-1.7,-0.202,2107.2,218.1,30
tackle_aggression,0.7,4,16.7,48.3,-0.07,-6.5,-0.309,1786.6,215.2,30
tackle_aggression,0.85,5,16.7,52.0,-0.2,4.2,-0.13,2010.6,209.6,30
dash_power_multiplier,0.7,1,6.7,39.5,-1.37,-34.3,-0.621,1069.2,131.9,30
dash_power_multiplier,0.85,2,6.7,44.1,-0.73,-17.9,-0.382,1436.2,166.4,30
dash_power_multiplier,1.0,3,36.7,52.9,0.27,2.8,-0.085,2275.5,220.0,30
dash_power_multiplier,1.15,4,46.7,58.8,0.5,21.5,0.185,2450.0,272.1,30
dash_power_multiplier,1.3,5,80.0,62.4,1.2,32.7,0.337,2559.6,336.3,30
defensive_press_offset,-1.2,1,10.0,42.7,-0.57,-26.1,-0.713,1377.3,172.7,30
defensive_press_offset,-0.5,2,13.3,48.5,-0.2,-8.7,-0.419,1745.6,211.7,30
defensive_press_offset,0.0,3,16.7,48.8,-0.07,-5.3,-0.308,1824.5,218.0,30
defensive_press_offset,1.0,4,33.3,56.2,0.1,17.6,0.26,2198.5,199.0,30
defensive_press_offset,2.0,5,56.7,73.0,0.83,55.6,1.287,4428.7,367.0,30
