parameter,value,level,win_rate,possession,goal_difference,territory_gain,centroid_x,total_shots,shots_on_target,n_matches
shoot_distance_max,1.0,1,80.0,45.7,1.4,-18.1,-0.649,1293.0,115.2,5
shoot_distance_max,1.4,2,40.0,53.0,0.4,-0.2,-0.303,1743.4,151.4,5
shoot_distance_max,1.8,3,40.0,52.9,0.6,7.2,0.037,2215.8,202.8,5
shoot_distance_max,2.2,4,60.0,47.3,0.4,-8.7,-0.195,2327.4,296.0,5
shoot_distance_max,2.8,5,0.0,33.8,-0.8,-48.6,-1.09,990.2,150.8,5
shoot_over_pass_bias,0.1,1,40.0,50.5,0.2,3.4,-0.286,2039.8,185.2,5
shoot_over_pass_bias,0.3,2,0.0,43.5,-1.0,-22.4,-0.552,1228.4,100.0,5
shoot_over_pass_bias,0.5,3,0.0,41.5,-0.2,-19.4,-0.552,1591.0,194.0,5
shoot_over_pass_bias,0.7,4,20.0,43.5,0.2,-20.0,-0.595,1506.2,176.0,5
shoot_over_pass_bias,0.9,5,60.0,56.8,0.8,19.5,0.164,2269.8,143.4,5
chase_radius,1.3,1,20.0,36.2,-0.2,-38.1,-0.602,942.4,175.8,5
chase_radius,2.0,2,20.0,45.1,-0.6,-17.4,-0.408,1636.6,158.6,5
chase_radius,2.5,3,40.0,56.3,0.0,10.3,-0.039,1981.6,146.0,5
chase_radius,3.0,4,40.0,60.0,0.0,31.2,0.156,2663.4,222.0,5
chase_radius,3.5,5,60.0,50.6,0.8,-2.2,-0.213,2090.0,238.6,5
