parameter,value,level,win_rate,possession,goal_difference,territory_gain,centroid_x,n_matches
chase_radius,1.3,1,0.0,53.9,0.0,-2.0,-0.247,30
chase_radius,2.0,2,0.0,52.7,0.0,-2.4,-0.213,30
chase_radius,2.5,3,0.0,52.7,0.0,-3.0,-0.286,29
chase_radius,3.0,4,0.0,53.4,0.0,-1.7,-0.225,30
chase_radius,3.5,5,0.0,53.7,0.0,-0.2,-0.171,30
intercept_urgency,2,1,0.0,53.6,0.0,0.1,-0.241,30
intercept_urgency,4,2,0.0,53.9,0.0,-0.8,-0.217,30
intercept_urgency,5,3,0.0,54.3,0.0,-4.2,-0.276,30
intercept_urgency,7,4,0.0,52.9,0.0,-14.3,-0.556,29
intercept_urgency,9,5,0.0,51.2,0.0,-13.2,-0.449,26
shoot_distance_max,1.0,1,0.0,52.3,0.0,-7.4,-0.336,30
shoot_distance_max,1.4,2,0.0,52.5,0.0,-7.4,-0.352,30
shoot_distance_max,1.8,3,0.0,53.2,0.0,-4.0,-0.275,30
shoot_distance_max,2.2,4,0.0,53.0,0.0,-3.6,-0.297,30
shoot_distance_max,2.8,5,0.0,53.7,0.0,-4.0,-0.289,30
shoot_angle_min,4.0,1,0.0,54.3,0.0,-5.5,-0.352,30
shoot_angle_min,8.0,2,0.0,52.1,0.0,-6.0,-0.295,29
shoot_angle_min,12.0,3,0.0,52.6,0.0,-5.7,-0.348,30
shoot_angle_min,18.0,4,0.0,53.5,0.0,-6.4,-0.336,30
shoot_angle_min,25.0,5,0.0,53.0,0.0,-1.8,-0.217,29
shoot_over_pass_bias,0.1,1,0.0,52.3,0.0,-1.5,-0.22,30
shoot_over_pass_bias,0.3,2,0.0,53.8,0.0,-1.7,-0.212,29
shoot_over_pass_bias,0.5,3,0.0,53.1,0.0,-5.1,-0.351,29
shoot_over_pass_bias,0.7,4,0.0,50.8,0.0,-5.1,-0.318,29
shoot_over_pass_bias,0.9,5,0.0,53.0,0.0,-4.7,-0.297,29
min_passes_before_shot,0,1,0.0,54.4,0.0,-0.7,-0.185,30
min_passes_before_shot,1,2,0.0,52.8,0.0,-4.5,-0.308,30
min_passes_before_shot,2,3,0.0,53.1,0.0,-2.3,-0.219,30
min_passes_before_shot,3,4,0.0,51.4,0.0,-2.3,-0.235,30
min_passes_before_shot,4,5,0.0,52.2,0.0,-4.1,-0.319,30
pass_forward_bias,0.8,1,0.0,53.2,0.0,-0.0,-0.114,30
pass_forward_bias,1.2,2,0.0,54.1,0.0,-2.9,-0.224,30
pass_forward_bias,1.5,3,0.0,50.6,0.0,-3.4,-0.308,30
pass_forward_bias,1.8,4,0.0,53.9,0.0,-3.9,-0.284,30
pass_forward_bias,2.2,5,0.0,53.9,0.0,-3.9,-0.277,30
kick_power,0.85,1,0.0,53.6,0.0,-4.4,-0.323,30
kick_power,0.95,2,0.0,53.1,0.0,-3.6,-0.274,30
kick_power,1.05,3,0.0,51.7,0.0,-3.5,-0.278,30
kick_power,1.15,4,0.0,53.8,0.0,-3.4,-0.263,30
kick_power,1.25,5,0.0,52.7,0.0,-1.8,-0.235,29
pass_power,0.65,1,0.0,50.7,0.0,-11.2,-0.4,26
pass_power,0.75,2,0.0,49.0,0.0,-9.9,-0.386,30
pass_power,0.85,3,0.0,52.0,0.0,-5.6,-0.293,30
pass_power,0.95,4,0.0,55.1,0.0,-2.8,-0.308,30
pass_power,1.05,5,0.0,53.0,0.0,-0.1,-0.251,30
kick_accuracy,0.05,1,0.0,52.6,0.0,-5.8,-0.351,30
kick_accuracy,0.1,2,0.0,53.3,0.0,-2.4,-0.235,30
kick_accuracy,0.15,3,0.0,52.1,0.0,-4.8,-0.33,29
kick_accuracy,0.2,4,0.0,53.6,0.0,-5.4,-0.286,30
kick_accuracy,0.25,5,0.0,52.1,0.0,-7.5,-0.405,30
position_x_offset,-1.2,1,0.0,53.3,0.0,-2.0,-0.299,30
position_x_offset,-0.5,2,0.0,54.8,0.0,-1.2,-0.238,30
position_x_offset,0.0,3,0.0,52.3,0.0,-4.7,-0.286,29
position_x_offset,0.8,4,0.0,54.0,0.0,-0.9,-0.136,30
position_x_offset,1.5,5,0.0,49.9,0.0,-8.6,-0.284,28
position_y_spread,0.6,1,0.0,52.9,0.0,-3.8,-0.309,30
position_y_spread,0.8,2,0.0,54.0,0.0,-1.5,-0.234,30
position_y_spread,1.0,3,0.0,50.6,0.0,-4.1,-0.324,29
position_y_spread,1.2,4,0.0,53.2,0.0,-1.9,-0.234,30
position_y_spread,1.4,5,0.0,52.6,0.0,-5.9,-0.312,29
gk_sweep_radius,0.3,1,0.0,52.1,0.0,-5.3,-0.305,30
gk_sweep_radius,0.7,2,0.0,52.9,0.0,-7.9,-0.382,30
gk_sweep_radius,1.0,3,0.0,54.2,0.0,-2.5,-0.237,29
gk_sweep_radius,1.5,4,0.0,52.8,0.0,-4.1,-0.303,30
gk_sweep_radius,2.0,5,0.0,53.1,0.0,-2.2,-0.249,29
dash_power_multiplier,0.7,1,0.0,54.8,0.0,-3.0,-0.271,30
dash_power_multiplier,0.85,2,0.0,54.3,0.0,-2.9,-0.246,30
dash_power_multiplier,1.0,3,0.0,53.5,0.0,-2.9,-0.221,30
dash_power_multiplier,1.15,4,0.0,51.4,0.0,-6.2,-0.315,30
dash_power_multiplier,1.3,5,0.0,50.8,0.0,-4.7,-0.286,30
fall_probability_mult,0.5,1,0.0,51.1,0.0,-4.8,-0.276,30
fall_probability_mult,0.75,2,0.0,53.8,0.0,-3.4,-0.209,30
fall_probability_mult,1.0,3,0.0,52.5,0.0,-6.1,-0.399,30
fall_probability_mult,1.3,4,0.0,52.9,0.0,-3.1,-0.263,30
fall_probability_mult,1.6,5,0.0,52.8,0.0,-2.4,-0.25,30
defensive_press_offset,-1.2,1,0.0,50.8,0.0,5.7,-0.417,30
defensive_press_offset,-0.5,2,0.0,54.3,0.0,-0.5,-0.315,29
defensive_press_offset,0.0,3,0.0,52.7,0.0,-4.5,-0.302,30
defensive_press_offset,1.0,4,0.0,50.4,0.0,-15.3,-0.549,30
defensive_press_offset,2.0,5,0.0,48.8,0.0,-18.7,-0.601,29
tackle_aggression,0.2,1,0.0,51.6,0.0,-5.9,-0.334,29
tackle_aggression,0.35,2,0.0,53.0,0.0,-2.9,-0.262,30
tackle_aggression,0.5,3,0.0,53.7,0.0,-4.0,-0.303,30
tackle_aggression,0.7,4,0.0,54.6,0.0,-3.2,-0.269,30
tackle_aggression,0.85,5,0.0,52.9,0.0,-4.3,-0.276,29
