time,mode,v_cmd,v_meas,freq,step_len,A_hip_pitch,A_knee,A_ankle_pitch,pitch,roll,gyro_x,gyro_y,amp,state,fall
48.984,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.003,-3.142,0.190,0.007,0.000,IDLE,0
48.992,MANUAL,0.000,0.009,0.600,0.050,0.200,0.350,0.150,-0.003,-3.142,0.180,0.012,0.000,IDLE,0
49.000,MANUAL,0.000,0.017,0.600,0.050,0.200,0.350,0.150,-0.003,-3.142,0.160,0.017,0.000,IDLE,0
49.008,MANUAL,0.000,0.022,0.600,0.050,0.200,0.350,0.150,-0.003,-3.142,0.145,0.020,0.000,IDLE,0
49.016,MANUAL,0.000,0.025,0.600,0.050,0.200,0.350,0.150,-0.003,-3.142,0.129,0.023,0.000,IDLE,0
49.024,MANUAL,0.000,0.028,0.600,0.050,0.200,0.350,0.150,-0.003,3.142,0.117,0.024,0.000,IDLE,1
49.032,MANUAL,0.000,0.029,0.600,0.050,0.200,0.350,0.150,-0.003,3.142,0.107,0.025,0.000,IDLE,1
49.040,MANUAL,0.000,0.030,0.600,0.050,0.200,0.350,0.150,-0.003,3.142,0.098,0.026,0.000,IDLE,1
49.048,MANUAL,0.000,0.030,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.088,0.025,0.000,IDLE,1
49.056,MANUAL,0.000,0.029,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.080,0.024,0.000,IDLE,1
49.064,MANUAL,0.000,0.028,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.072,0.023,0.000,IDLE,1
49.072,MANUAL,0.000,0.027,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.065,0.021,0.000,IDLE,1
49.080,MANUAL,0.000,0.026,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.059,0.019,0.000,IDLE,1
49.088,MANUAL,0.000,0.025,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.054,0.017,0.000,IDLE,1
49.096,MANUAL,0.000,0.024,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.050,0.015,0.000,IDLE,1
49.104,MANUAL,0.000,0.022,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.047,0.013,0.000,IDLE,1
49.112,MANUAL,0.000,0.021,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.044,0.011,0.000,IDLE,1
49.120,MANUAL,0.000,0.020,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.041,0.010,0.000,IDLE,1
49.128,MANUAL,0.000,0.018,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.037,0.008,0.000,IDLE,1
49.136,MANUAL,0.000,0.017,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.036,0.007,0.000,IDLE,1
49.144,MANUAL,0.000,0.016,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.032,0.001,0.000,IDLE,1
49.152,MANUAL,0.000,0.014,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.030,0.000,0.000,IDLE,1
49.160,MANUAL,0.000,0.013,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.028,0.000,0.000,IDLE,1
49.168,MANUAL,0.000,0.012,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.049,-0.012,0.000,IDLE,1
49.176,MANUAL,0.000,0.010,0.600,0.050,0.200,0.350,0.150,-0.002,3.142,0.054,0.003,0.000,IDLE,1
49.184,MANUAL,0.000,0.008,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.053,0.002,0.000,IDLE,1
49.192,MANUAL,0.000,0.007,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.053,0.002,0.000,IDLE,1
49.200,MANUAL,0.000,0.006,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.051,0.002,0.000,IDLE,1
49.208,MANUAL,0.000,0.005,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.052,0.002,0.000,IDLE,1
49.216,MANUAL,0.000,0.005,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.050,0.001,0.000,IDLE,1
49.224,MANUAL,0.000,0.004,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.050,0.001,0.000,IDLE,1
49.232,MANUAL,0.000,0.004,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.049,0.001,0.000,IDLE,1
49.240,MANUAL,0.000,0.003,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.047,0.000,0.000,IDLE,1
49.248,MANUAL,0.000,0.003,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.047,0.000,0.000,IDLE,1
49.256,MANUAL,0.000,0.003,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.043,0.001,0.000,IDLE,1
49.264,MANUAL,0.000,0.002,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.042,0.001,0.000,IDLE,1
49.272,MANUAL,0.000,0.002,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.041,0.001,0.000,IDLE,1
49.280,MANUAL,0.000,0.002,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.039,-0.001,0.000,IDLE,1
49.288,MANUAL,0.000,0.002,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.038,-0.001,0.000,IDLE,1
49.296,MANUAL,0.000,0.001,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.035,0.001,0.000,IDLE,1
49.304,MANUAL,0.000,0.001,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.034,0.001,0.000,IDLE,1
49.312,MANUAL,0.000,0.001,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.033,0.001,0.000,IDLE,1
49.320,MANUAL,0.000,0.001,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.031,0.001,0.000,IDLE,1
49.328,MANUAL,0.000,0.001,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.030,0.001,0.000,IDLE,1
49.336,MANUAL,0.000,0.001,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.028,0.001,0.000,IDLE,1
49.344,MANUAL,0.000,0.001,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.027,0.001,0.000,IDLE,1
49.352,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.026,0.001,0.000,IDLE,1
49.360,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.025,0.001,0.000,IDLE,1
49.368,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.023,0.001,0.000,IDLE,1
49.376,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.022,0.001,0.000,IDLE,1
49.384,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.021,0.001,0.000,IDLE,1
49.392,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.020,0.001,0.000,IDLE,1
49.400,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.019,0.001,0.000,IDLE,1
49.408,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.018,0.001,0.000,IDLE,1
49.416,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.017,0.001,0.000,IDLE,1
49.424,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.016,0.001,0.000,IDLE,1
49.432,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.015,0.000,0.000,IDLE,1
49.440,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.015,0.000,0.000,IDLE,1
49.448,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.014,0.000,0.000,IDLE,1
49.456,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.013,0.000,0.000,IDLE,1
49.464,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.012,0.000,0.000,IDLE,1
49.472,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.012,0.000,0.000,IDLE,1
49.480,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.011,0.000,0.000,IDLE,1
49.488,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.010,0.000,0.000,IDLE,1
49.496,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.010,0.000,0.000,IDLE,1
49.504,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.009,0.000,0.000,IDLE,1
49.512,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.009,0.000,0.000,IDLE,1
49.520,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.008,0.000,0.000,IDLE,1
49.528,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.008,0.000,0.000,IDLE,1
49.536,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.007,0.000,0.000,IDLE,1
49.544,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.007,0.000,0.000,IDLE,1
