LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,step
0,-0.021,-0.52,1.046,-0.526,0.021,0,-0.021,-0.52,1.046,-0.526,0.021,0.0
0,-0.027,-0.518,1.045,-0.527,0.027,0,-0.027,-0.518,1.045,-0.527,0.027,0.01818181818181818
0,-0.034,-0.517,1.044,-0.528,0.034,0,-0.034,-0.517,1.044,-0.528,0.034,0.03636363636363636
0,-0.049,-0.513,1.041,-0.529,0.049,0,-0.049,-0.513,1.041,-0.529,0.049,0.05454545454545454
0,-0.063,-0.509,1.038,-0.529,0.063,0,-0.063,-0.509,1.038,-0.529,0.063,0.07272727272727272
0,-0.09,-0.5,1.03,-0.53,0.09,0,-0.09,-0.5,1.03,-0.53,0.09,0.09090909090909091
0,-0.112,-0.492,1.022,-0.53,0.112,0,-0.112,-0.492,1.022,-0.53,0.112,0.10909090909090909
0,-0.136,-0.48,1.01,-0.529,0.136,0,-0.136,-0.48,1.01,-0.529,0.136,0.12727272727272726
0,-0.157,-0.467,0.997,-0.53,0.157,0,-0.157,-0.467,0.997,-0.53,0.157,0.14545454545454545
0,-0.175,-0.446,0.98,-0.534,0.18,0,-0.182,-0.466,1.018,-0.551,0.182,0.16363636363636364
0,-0.15,-0.439,0.981,-0.542,0.189,0,-0.197,-0.519,1.117,-0.598,0.197,0.18181818181818182
0,-0.145,-0.444,1.008,-0.564,0.197,0,-0.217,-0.652,1.298,-0.646,0.217,0.19999999999999998
0,-0.146,-0.45,1.031,-0.58,0.198,0,-0.223,-0.742,1.372,-0.63,0.223,0.21818181818181817
0,-0.142,-0.453,1.048,-0.595,0.195,0,-0.219,-0.802,1.376,-0.574,0.219,0.23636363636363636
0,-0.128,-0.437,1.05,-0.613,0.181,0,-0.195,-0.8,1.259,-0.459,0.195,0.2545454545454545
0,-0.113,-0.411,1.033,-0.621,0.165,0,-0.172,-0.744,1.138,-0.394,0.172,0.2727272727272727
0,-0.128,-0.378,1.009,-0.631,0.145,0,-0.147,-0.676,1.035,-0.358,0.147,0.2909090909090909
0,-0.103,-0.325,0.98,-0.654,0.103,0,-0.103,-0.622,1.003,-0.381,0.103,0.3090909090909091
0,-0.065,-0.292,0.967,-0.675,0.065,0,-0.065,-0.603,1.019,-0.416,0.065,0.32727272727272727
0,-0.019,-0.252,0.946,-0.694,0.019,0,-0.019,-0.578,1.03,-0.452,0.019,0.34545454545454546
0,0.053,-0.177,0.888,-0.711,-0.053,0,0.053,-0.527,1.026,-0.5,-0.053,0.36363636363636365
0,0.094,-0.122,0.835,-0.712,-0.094,0,0.094,-0.488,1.012,-0.524,-0.094,0.3818181818181818
0,0.125,-0.095,0.826,-0.731,-0.125,0,0.12,-0.45,0.991,-0.541,-0.124,0.39999999999999997
0,0.165,-0.193,1.015,-0.823,-0.165,0,0.103,-0.416,0.98,-0.564,-0.156,0.41818181818181815
0,0.185,-0.337,1.195,-0.858,-0.185,0,0.116,-0.412,0.988,-0.577,-0.169,0.43636363636363634
0,0.198,-0.508,1.334,-0.825,-0.198,0,0.124,-0.419,1.007,-0.587,-0.176,0.45454545454545453
0,0.196,-0.716,1.368,-0.652,-0.196,0,0.123,-0.436,1.038,-0.602,-0.176,0.4727272727272727
0,0.182,-0.764,1.277,-0.513,-0.182,0,0.116,-0.436,1.046,-0.61,-0.168,0.4909090909090909
0,0.162,-0.74,1.146,-0.407,-0.162,0,0.103,-0.419,1.037,-0.618,-0.155,0.509090909090909
0,0.125,-0.658,1.006,-0.349,-0.125,0,0.121,-0.372,1.006,-0.634,-0.125,0.5272727272727272
0,0.095,-0.63,1.004,-0.374,-0.095,0,0.095,-0.337,0.988,-0.652,-0.095,0.5454545454545454
0,0.057,-0.61,1.02,-0.409,-0.057,0,0.057,-0.303,0.975,-0.672,-0.057,0.5636363636363636
