LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,frac_step
0,0.035,-0.601,1.028,-0.428,-0.035,0,0.035,-0.286,0.969,-0.683,-0.035,0.0
0,-0.038,-0.555,1.032,-0.478,0.038,0,-0.038,-0.217,0.922,-0.705,0.038,0.04020979020979021
0,-0.085,-0.517,1.021,-0.504,0.085,0,-0.085,-0.164,0.874,-0.71,0.085,0.08041958041958042
0,-0.121,-0.479,1.0,-0.521,0.122,0,-0.122,-0.118,0.83,-0.712,0.122,0.12062937062937062
0,-0.124,-0.436,0.979,-0.543,0.163,0,-0.17,-0.138,0.926,-0.788,0.17,0.16083916083916083
0,-0.131,-0.421,0.977,-0.556,0.183,0,-0.198,-0.21,1.065,-0.855,0.198,0.20104895104895104
0,-0.152,-0.414,0.985,-0.571,0.205,0,-0.23,-0.348,1.242,-0.894,0.23,0.24125874125874125
0,-0.161,-0.412,0.989,-0.577,0.214,0,-0.24,-0.425,1.284,-0.86,0.24,0.28146853146853146
0,-0.167,-0.401,0.98,-0.579,0.22,0,-0.237,-0.464,1.21,-0.746,0.237,0.32167832167832167
0,-0.168,-0.385,0.962,-0.577,0.22,0,-0.229,-0.434,1.097,-0.662,0.229,0.3618881118881119
0,-0.201,-0.365,0.939,-0.575,0.218,0,-0.221,-0.383,0.983,-0.599,0.221,0.4020979020979021
0,-0.213,-0.344,0.92,-0.576,0.213,0,-0.213,-0.344,0.92,-0.576,0.213,0.4423076923076923
0,-0.207,-0.343,0.922,-0.579,0.207,0,-0.207,-0.343,0.922,-0.579,0.207,0.4825174825174825
0,-0.194,-0.352,0.933,-0.582,0.194,0,-0.194,-0.352,0.933,-0.582,0.194,0.5227272727272727
0,-0.182,-0.362,0.945,-0.582,0.182,0,-0.182,-0.362,0.944,-0.582,0.182,0.5629370629370629
0,-0.161,-0.383,0.964,-0.581,0.161,0,-0.161,-0.383,0.964,-0.581,0.161,0.6031468531468531
0,-0.138,-0.407,0.985,-0.578,0.138,0,-0.138,-0.407,0.985,-0.577,0.138,0.6433566433566433
0,-0.121,-0.424,0.998,-0.574,0.121,0,-0.121,-0.424,0.998,-0.574,0.121,0.6835664335664335
0,-0.096,-0.448,1.014,-0.567,0.096,0,-0.096,-0.448,1.014,-0.566,0.096,0.7237762237762237
0,-0.08,-0.462,1.023,-0.561,0.08,0,-0.08,-0.462,1.023,-0.561,0.08,0.763986013986014
0,-0.058,-0.481,1.034,-0.552,0.058,0,-0.058,-0.481,1.033,-0.552,0.058,0.8041958041958042
0,-0.046,-0.491,1.038,-0.547,0.046,0,-0.046,-0.491,1.038,-0.547,0.046,0.8444055944055944
0,-0.031,-0.503,1.043,-0.54,0.031,0,-0.031,-0.503,1.043,-0.54,0.031,0.8846153846153846
